# GBT UWBR - Ryan Lynch 6/20/23
#freq	Trx	G	eps
0.7	27.3	1.99102361412	0.01
0.8	27.3	1.99102361412	0.01
0.9	27.3	1.99102361412	0.01
1.0	27.3	1.99102361412	0.01
1.1	27.3	1.99102361412	0.01
1.2	27.3	1.99102361412	0.01
1.3	27.3	1.99102361412	0.01
1.4	27.3	1.99102361412	0.01
1.5	27.3	1.99102361412	0.01
1.6	27.3	1.99102361412	0.01
1.7	27.3	1.99102361412	0.01
1.8	27.3	1.99102361412	0.01
1.9	27.3	1.99102361412	0.01
2.0	27.3	1.99102361412	0.01
2.1	27.3	1.99102361412	0.01
2.2	27.3	1.99102361412	0.01
2.3	27.3	1.99102361412	0.01
2.4	27.3	1.99102361412	0.01
2.5	27.3	1.99102361412	0.01
2.6	27.3	1.99102361412	0.01
2.7	27.3	1.99102361412	0.01
2.8	27.3	1.99102361412	0.01
2.9	27.3	1.95039047914	0.01
3.0	27.3	1.90975734416	0.01
3.1	27.3	1.86912420917	0.01
3.2	27.3	1.82849107419	0.01
3.3	27.3	1.78785793921	0.01
3.4	27.3	1.74722480423	0.01
3.5	27.3	1.70659166925	0.01
3.6	27.3	1.66595853426	0.01
3.7	27.3	1.62532539928	0.01
3.8	27.3	1.5846922643	0.01
3.9	27.3	1.54405912932	0.01
4.0	27.3	1.50342599434	0.01
4.1	27.3	1.46279285935	0.01
4.2	27.3	1.42215972437	0.01
