# Hacky CHIME F-Engine + GBT UWBR with no RFI, improved gain - Ryan Lynch 6/12/23
# CHIME Gains multiplied by sqrt(.7) to account for BW loss to RFI
# Bands overlap from ~700 - 800 MHz, UWBR figures chosen in range for lower SEFD
# Integration times (s) for pulsar with dec=0
#freq	Trx	G	eps	t_int
.400	30.	0.97	0.01	1.8e4
0.699	30.	0.97	0.01	1.03e4
0.7	66.71858211	1.912292852	0.01	1800.
0.8	45.34896346	1.885778106	0.01	1800.
0.9	31.16079163	1.849163182	0.01	1800.
1.0	34.8516281	1.853628763	0.01	1800.
1.1	37.82159861	1.839887856	0.01	1800.
1.2	43.33339154	1.866499309	0.01	1800.
1.3	28.1237878	1.823058018	0.01	1800.
1.4	31.28785981	1.926429119	0.01	1800.
1.5	51.11949101	1.801099872	0.01	1800.
1.6	37.92548787	1.844828439	0.01	1800.
1.7	30.86757773	1.805192847	0.01	1800.
1.8	27.77039305	1.708958143	0.01	1800.
1.9	39.26371008	1.983699492	0.01	1800.
2.0	32.72281745	1.718913261	0.01	1800.
2.1	29.60433531	1.848170514	0.01	1800.
2.2	19.10588029	2.03118256	0.01	1800.
2.3	31.66194537	1.991461639	0.01	1800.
2.4	30.97542328	2.16910361	0.01	1800.
2.5	30.28890119	2.1506326	0.01	1800.
2.6	34.71972872	2.031046033	0.01	1800.
2.7	33.57861554	2.063223819	0.01	1800.
2.8	36.94012483	2.136126571	0.01	1800.
2.9	36.39151381	2.109367213	0.01	1800.
3.0	32.495893	2.131422066	0.01	1800.
3.1	35.27005923	2.08754275	0.01	1800.
3.2	37.15861416	1.770822091	0.01	1800.
3.3	39.13440585	1.5152543	0.01	1800.
3.4	42.1917192	1.853341487	0.01	1800.
3.5	39.9685806	2.146167018	0.01	1800.
3.6	51.24071963	1.623236043	0.01	1800.
3.7	52.71749256	1.095734247	0.01	1800.
3.8	50.40135685	1.550188231	0.01	1800.
3.9	60.98038348	1.315221846	0.01	1800.
4.0	103.5221073	0.848193126	0.01	1800.
4.1	103.917712	1.025249167	0.01	1800.
4.2	103.917712	1.303335435	0.01	1800.
